inventor_id,name,country
fl:ja_ln:lee-305,James S. W. Lee,US
fl:da_ln:johnston-32,David F. Johnston,US
fl:ro_ln:macneill-1,Robert MacNeill,US
fl:al_ln:watfa-1,Allie K. Watfa,US
fl:yi_ln:zheng-23,Ying Zheng,US
fl:ch_ln:wu-293,Chia-Chin Wu,TW
fl:ma_ln:stocker-3,Mark Andrew Stocker,GB
fl:an_ln:mansencal-1,Antoine Mansencal,FR
fl:yo_ln:kobayashi-77,Youhei Kobayashi,JP
fl:fr_ln:duhay-1,Francis G. Duhay,US
fl:hu_ln:thompson-4,Hugh A. Thompson,US
fl:ji_ln:lee-73,Ji Hyun Lee,KR
fl:fl_ln:cosandier-1,Florent Cosandier,CH
fl:ra_ln:wynn-2,"Ray Wynn, Jr.",US
fl:ma_ln:tell-2,Mayo B. Tell,US
fl:ki_ln:kovi-1,Kiran Kumar Kovi,US
fl:hi_ln:iimura-1,Hiroshi Iimura,JP
fl:ga_ln:rayburn-1,Gary L. Rayburn,US
fl:ma_ln:kupryushkin-1,Maxim Kupryushkin,RU
fl:jo_ln:mola-2,Jordi Mola,US
fl:ni_ln:stebbins-2,Nicholas David Stebbins,US
fl:we_ln:ji-29,Wei Ji,US
fl:he_ln:candello-1,Heloisa Caroline De Souza Pereira Candello,BR
fl:ro_ln:chaput-3,Robert Chaput,CA
fl:jo_ln:kim-196,Jong Ho Kim,KR
fl:to_ln:edwards-1,Todd S. Edwards,US
fl:jo_ln:baldridge-2,John W. Baldridge,US
fl:ji_ln:wu-468,Jianlong Wu,CN
fl:ju_ln:barthelme-3,Juergen Barthelme,DE
fl:to_ln:woolf-1,Tod M. Woolf,US
fl:sh_ln:vandermerwe-1,Shawn Van Der Merwe,CA
fl:ji_ln:gu-59,Ji-An Gu,KR
fl:al_ln:knoch-2,Alexander Knoch,DE
fl:jo_ln:kang-44,Jong Hyuk KANG,KR
fl:pe_ln:silbernagel-1,Peter Silbernagel,DE
fl:ri_ln:beaver-4,Richard James Beaver,GB
fl:da_ln:mies-1,David Mies,US
fl:yo_ln:ling-1,Youguo LING,CN
fl:ku_ln:chen-263,Kuei-Yuan Chen,TW
fl:ma_ln:yamada-53,Masataka Yamada,JP
fl:hi_ln:uemura-17,Hiroshi Uemura,JP
fl:ch_ln:cheng-471,Chi Wah Cheng,CN
fl:os_ln:sengoku-1,Osamu Sengoku,JP
fl:ma_ln:kern-24,Manfred Kern,DE
fl:ho_ln:zhang-135,Hongrong Zhang,CN
fl:di_ln:haerle-1,Dieter Haerle,AT
fl:hy_ln:kwon-188,Hyuk Joon Kwon,US
fl:ak_ln:yokawa-1,Akira Yokawa,JP
fl:ti_ln:jrgensen-2,Tino Dyhring Jørgensen,DK
fl:na_ln:kim-43,Nam Gyu Kim,KR
fl:to_ln:nishimoto-3,Tomohisa Nishimoto,JP
fl:jo_ln:carter-28,John L. Carter,US
fl:pe_ln:tu-11,Peter Tu,US
fl:ha_ln:takeda-7,Haruo Takeda,JP
fl:ch_ln:shimizu-8,Chiyuki Shimizu,JP
fl:fr_ln:coms-1,Frank D. Coms,US
fl:tu_ln:le-27,Tuan D. Le,US
fl:ya_ln:lai-18,Ya-Chieh Lai,US
fl:ge_ln:davis-46,George Davis,US
fl:sh_ln:yokoyama-2,Shigeyuki Yokoyama,JP
fl:h._ln:morgan-1,H. William Morgan,US
fl:li_ln:gardner-3,Linda S. Gardner,US
fl:hi_ln:yamaguchi-20,Hideaki Yamaguchi,JP
fl:pe_ln:huse-1,Per Huse,NO
fl:yu_ln:takita-5,Yutaka Takita,JP
fl:ja_ln:staron-3,James A. Staron,US
fl:ch_ln:chen-208,Chieh-Fang Chen,TW
fl:th_ln:young-20,Thomas Young,US
fl:al_ln:bourdais-1,Aline Bourdais,FR
fl:pa_ln:thayer-6,Paul R. Thayer,US
